Date,Open,Close,RATE
1990/12/19,99.980003,99.980003,#VALUE!
1990/12/20,104.389999,104.389999,0.04410878
1990/12/21,109.129997,109.129997,0.045406629
1990/12/24,114.550003,114.550003,0.049665593
1990/12/25,120.25,120.25,0.049759903
1990/12/26,125.269997,125.269997,0.041746337
1990/12/27,125.279999,125.279999,7.98E-05
1990/12/28,126.449997,126.449997,0.009339065
1990/12/31,127.610001,127.610001,0.009173618
1991/1/1,null,null,#VALUE!
1991/1/2,128.839996,128.839996,#VALUE!
1991/1/3,130.139999,130.139999,0.010090058
1991/1/4,131.440002,131.440002,0.009989265
1991/1/7,132.059998,132.059998,0.004716951
1991/1/8,132.679993,132.679993,0.004694798
1991/1/9,133.339996,133.339996,0.004974397
1991/1/10,133.970001,133.970001,0.004724801
1991/1/11,134.600006,134.600006,0.004702583
1991/1/14,134.669998,134.669998,0.00052
1991/1/15,134.740005,134.740005,0.000519841
1991/1/16,134.240005,134.240005,-0.00371085
1991/1/17,134.25,134.25,7.45E-05
1991/1/18,134.240005,134.240005,-7.45E-05
1991/1/21,134.240005,134.240005,0
1991/1/22,133.720001,133.720001,-0.003873689
1991/1/23,133.169998,133.169998,-0.004113094
1991/1/24,132.610001,132.610001,-0.004205129
1991/1/25,132.050003,132.050003,-0.004222894
1991/1/28,131.460007,131.460007,-0.004467974
1991/1/29,130.949997,130.949997,-0.003879583
1991/1/30,130.440002,130.440002,-0.003894578
1991/1/31,129.970001,129.970001,-0.003603197
1991/2/1,129.509995,129.509995,-0.003539324
1991/2/4,129.050003,129.050003,-0.003551788
1991/2/5,128.580002,128.580002,-0.003642007
1991/2/6,129.139999,129.139999,0.004355242
1991/2/7,129.789993,129.789993,0.005033251
1991/2/8,130.380005,130.380005,0.004545897
1991/2/11,130.970001,130.970001,0.004525203
1991/2/12,131.350006,131.350006,0.002901466
1991/2/13,131.919998,131.919998,0.00433949
1991/2/14,132.529999,132.529999,0.004624022
1991/2/15,null,null,#VALUE!
1991/2/18,null,null,#VALUE!
1991/2/19,133.130005,133.130005,#VALUE!
1991/2/20,133.669998,133.669998,0.004056133
1991/2/21,134.279999,134.279999,0.004563485
1991/2/22,134.869995,134.869995,0.004393774
1991/2/25,134.399994,134.399994,-0.003484845
1991/2/26,133.929993,133.929993,-0.003497031
1991/2/27,133.470001,133.470001,-0.00343457
